id,name,personality_1,personality_2,likes
1,妙蛙種子,內向,細心,在出生後的一段時間內，牠會吸收背上種子裡儲存著的營養成長。
2,妙蛙草,穩重,耐心,在吸收了養分後，變大的花苞開始飄出香氣時，就表示快要開花了。
3,妙蛙花,自信,向陽,長在背上的大花能夠吸收太陽光，並轉換成能量。
4,小火龍,堅韌,勇敢,要是把牠帶到安靜的地方，就能聽見牠的尾巴燃燒時發出的微小聲音。
5,火恐龍,暴躁,好戰,如果牠在戰鬥中亢奮起來，就會噴出灼熱的火焰，把周圍的東西燒得一乾二淨。
6,噴火龍,激進,自大,會噴出彷彿連岩石都能燒焦的灼熱火焰。有時會引發森林火災。
7,傑尼龜,穩重,機敏,會從水面噴水來擊落獵物。當遇到危險時，會把手腳縮進甲殼裡保護自己。
8,卡咪龜,靈活,平衡,會靈巧地擺動自己毛茸茸的耳朵和尾巴，藉此在水中保持平衡。
9,水箭龜,強壯,自信,會用重量驚人的身體壓住對手使其昏厥。遇到危險時會躲進殼裡。
10,綠毛蟲,膽小,警覺,如果碰到牠頭上的觸角，牠就會分泌強烈的臭味來保護自己。
11,鐵甲蛹,沉穩,謹慎,殼裡面是黏糊糊的液體。為了準備迎接進化，正不斷更新全身的細胞。
12,巴大蝶,機靈,觀察力強,如果被其他寶可夢襲擊，就會一邊散布有毒的鱗粉，一邊拍動翅膀抵抗。
13,獨角蟲,隱蔽,勤奮,頭上長著尖銳的針。總是躲在森林或是草叢裡，不停地吃著葉子。
14,鐵殼蛹,防禦性,安靜,雖然幾乎動也動不了，但如果遭遇到了危險，有時似乎會豎起毒刺來反抗。
15,大針蜂,攻擊性,敏捷,會用雙手和屁股上的３根毒針不斷猛刺來攻擊對手。
16,波波,溫馴,謙和,性情溫馴，即使遭到襲擊也很少反擊，只會朝對手潑沙子來保護自己。
17,比比鳥,好奇,勤奮,擁有著超乎尋常的體力，會在廣大的地盤裡四處飛行，到遠處去尋找食物。
18,大比鳥,強大,無畏,會以２馬赫的速度飛行來尋找食物。巨大的爪子是很可怕的武器。
19,小拉達,聰明,機警,門牙會終生生長，如果長得太長，就會因為無法進食而餓死。
20,拉達,強壯,耐力好,擅長游泳。後腳帶有小小的足蹼，會游過河流，有時還會渡過大海。
21,烈雀,貪婪,頑強,翅膀很短，不太擅長飛行。總是忙碌地來回走動，啄食草叢裡的蟲寶可夢。
22,大嘴雀,狡猾,迅速,在大嘴雀的地盤上帶著食物走動是件危險的事，食物轉眼間就會被奪走。
23,阿柏蛇,冷酷,耐心,會藉由讓下顎脫臼來吞食比自己更大的獵物。進食之後會蜷縮起身子休息。
24,阿柏怪,強悍,神秘,用腹部的花紋使對手畏縮後，就會迅速地用身體纏緊對手，然後靜待對手心跳停止。
25,皮卡丘,活潑,充滿能量,擁有儲蓄電力的特性。皮卡丘群居的森林裡會不斷落雷，十分危險。
26,雷丘,易怒,強壯,電力積聚的話，脾氣就會變壞。即使是訓練家，一不留神也會被襲擊。
27,穿山鼠,靜默,小心翼翼,不下雨的乾燥地區和沙漠是牠的主要棲息地。會挖洞捕捉蟲寶可夢。
28,穿山王,強硬,自我保護,銳利卻有點脆弱的爪子和尖刺經常折斷。但因為第二天就會長回來，所以不必在意。
29,尼多蘭,溫馴,低調,性情溫馴不喜歡戰鬥。但由於牠的小角中含有毒液，因此還是要小心提防。
30,尼多娜,謙和,保護性強,人們認為牠額頭上的角是為了避免在給孩子餵食時刺到孩子而退化的。
31,尼多后,母性,溫和,會把孩子放在背上的刺與刺之間來哄牠們。這時候絕對不會釋放毒素。
32,尼多朗,警覺,果斷,體型嬌小，但性情勇猛。為了保護感情好的雌性，會奮不顧身地勇敢戰鬥。
33,尼多力諾,易怒,激烈,神經質且容易發脾氣打架。當體內的腎上腺素增加時，毒素的濃度也會提升。
34,尼多王,保護性強,暴力,一旦大鬧起來就無人能擋，但在長年相伴的尼多后面前則會露出溫和的表情。
35,皮皮,神秘,團結,因為可愛的舉止和模樣，不論男女老幼都很喜歡牠。但數量很稀少。
36,皮可西,孤獨,敏感,據說，如果看到一對皮可西蹦蹦跳跳的樣子，就能獲得幸福的婚姻。
37,六尾,神秘,機警,牠美麗的尾巴深受人們喜愛。但如果沒有經常幫牠梳理，很快就會變得滿是毛球。
38,九尾,威嚴,冷靜,性情執拗，一旦遭到牠的怨恨，牠會在１０００年間不斷作祟，連對方的子孫都不放過。
39,胖丁,友好,歌唱天才,擁有超過１２個八度音的音域，不過歌唱得好不好就要看每隻胖丁自己努力的程度了。
40,胖可丁,競爭性強,自信,蓬鬆的毛髮會隨季節變遷而掉落。收集這些毛髮所紡織成的毛線是高級商品。
41,超音蝠,耐心,謹慎,白天在洞穴裡睡覺。由於沒有眼睛，會利用超音波一邊確認周圍環境一邊飛行。
42,大嘴蝠,強悍,自我保護,也有發生過因吸血過多無法飛行而落到地面成為其他寶可夢的食物的事情。
43,走路草,膽怯,謹慎,沐浴月光就會開始活動。為了四處散播種子，會在夜晚到處走動。
44,臭臭花,特立獨行,自信,味道奇臭無比！然而每1000人裡總會有１個人喜歡聞這個味道。
45,霸王花,沉著,強勢,當牠為了散佈有毒的花粉而搖晃大大的花瓣時，會發出震耳欲聾的聲響。
46,派拉斯,勤奮,耐力好,不知是因為濕氣不夠還是營養不足，阿羅拉的派拉斯背上的蘑菇長得都不怎麼樣。
47,派拉斯特,受控,合作,大大的蘑菇操縱著派拉斯特。經常和燈罩夜菇爭奪地盤。
48,毛球,好奇,觀察力強,在明亮的地方看就會發現那對有著雷達作用的大眼睛，是由許多小眼睛聚集而成的。
49,摩魯蛾,毒辣,靈敏,翅膀上的鱗粉一旦沾到身上就很難甩掉，而且鱗粉帶有的毒素還會逐漸滲入體內。
50,地鼠,勤奮,有用,會在地下嚼食樹根。根據種植的蔬菜品種不同，有時會對農家造成災害的寶可夢。
51,三地鼠,合作性強,家族觀念重,和農戶等大多數人都很親近，不過還是沒有人見過牠在地面下的樣子。
52,喵喵,懶散,狡猾,只要去垃圾場就能看見牠和黑暗鴉為了爭奪發亮的東西而激烈互鬥的景象。
53,貓老大,傲慢,難以接近,性情粗暴，單單是視線對上就會猛撲過來。被銳利的爪子抓到的話，就會留下很深的傷口。
54,可達鴨,困惑,耐心不足,身體無意識地不時產生念力，讓牠因為頭痛而哭泣。
55,哥達鴨,鎮定,專注,即使面對游得很快的魚寶可夢，也能用定身法停住對方的動作，輕易地捕捉獵物。
56,猴怪,暴躁,易怒,會沒有任何徵兆突然發怒。大肆胡鬧把周圍的一切都趕走之後，又會因受不了孤獨而再次發怒。
57,火爆猴,不屈不撓,持久,某位研究者的學說中提到，即使在精靈球裡，火爆猴好像也在發怒。
58,卡蒂狗,忠誠,保護性強,雖說很可愛，但如果靠近不認識的訓練家的卡蒂狗，是會被狂吠撕咬的。
59,風速狗,勇敢,無畏,只需要一晝夜時間就能跑完１００００公里的身影令許多人為之沉醉。
60,蚊香蝌蚪,觀察力強,脆弱,走路還是很不純熟。成為牠的訓練家後，要每天給牠做走路訓練哦。
61,蚊香君,自我保護,機敏,雖然已經能在陸地上生活，但還是棲息在有大量魚寶可夢可以獵食的水中。
62,蚊香泳士,強壯,自信,阿羅拉的蚊香泳士擅長蛙泳。模仿蚊香泳士學習游泳的孩子也有很多。
63,凱西,沉思,好奇,１天中有１８個小時都在睡覺。即使在睡夢中也能用瞬間移動跑到樹上去採樹果吃。
64,勇基拉,機敏,專注,勇基拉在的時候，電視機等機械的螢幕中會有喚來不幸的可怕影像閃現。
65,胡地,智慧,深沉,智商大約有５０００。滿溢著強大的念力，光是在牠身旁就會頭痛不已。
66,腕力,強壯,勤奮,那種能扔飛１００個成年人的可怕力量是透過每天舉隆隆石來練成的。
67,豪力,堅毅,自律,不斷鍛煉的成果就是獲得了非常驚人的力量。會靈活運用這股力量幫助人工作。
68,怪力,無敵,自信,能使出百萬噸級的拳擊，將擋路的敵人擊飛到地平線的另一端。
69,喇叭芽,活潑,喜歡冒險,喜歡高溫多濕的環境。會利用藤蔓捕捉小蟲當成自己的食物。
